Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
849380,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman,"Gottman, John M.",Nan Silver,"=""0609805797""","=""9780609805794""",0,4.25,Harmony,Paperback,271,1999,1999,,2019/08/24,to-read,to-read (#102),to-read,,,,0,0
23420,How Proust Can Change Your Life,Alain de Botton,"Botton, Alain de",,"=""0679779159""","=""9780679779155""",0,3.76,Vintage,Paperback,208,1998,1998,,2019/08/19,to-read,to-read (#101),to-read,,,,0,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",0,4.10,Penguin Books,Paperback,452,2000,1998,,2019/07/18,to-read,to-read (#99),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472,2014,2006,,2019/07/18,to-read,to-read (#98),to-read,,,,0,0
54270,Mein Kampf,Adolf Hitler,"Hitler, Adolf","Ralph Manheim, Serpil Yener","=""0395083621""","=""9780395083628""",0,3.17,Houghton Mifflin Company,Paperback,384,1973,,,2019/07/16,"myshelf, to-read","myshelf (#53), to-read (#97)",to-read,,,,0,0
15093692,Using Humor to Maximize Living: Connecting with Humor,Mary Kay Morrison,"Morrison, Mary Kay",,"=""1610484894""","=""9781610484893""",0,4.53,R & L Education,ebook,260,2012,2007,,2019/07/13,to-read,to-read (#96),to-read,,,,0,0
31625636,We Have No Idea: A Guide to the Unknown Universe,Jorge Cham,"Cham, Jorge",Daniel Whiteson,"=""0735211515""","=""9780735211513""",0,4.29,Riverhead Books,Hardcover,354,2017,2017,,2019/07/13,to-read,to-read (#95),to-read,,,,0,0
27827986,"Musashi's Dokkodo (The Way of Walking Alone): Half Crazy, Half Genius—Finding Modern Meaning in the Sword Saint’s Last Words",Miyamoto Musashi,"Musashi, Miyamoto","Lawrence A. Kane, Kris Wilder, Alain Burrese, Lisa Christensen, Wallace Smedley, Dan Anderson","=""""","=""""",0,3.91,"Stickman Publications, Inc.",Kindle Edition,278,2015,1645,,2019/07/13,to-read,to-read (#94),to-read,,,,0,0
273223,The Pursuit of Attention: Power and Ego in Everyday Life,Charles Derber,"Derber, Charles",,"=""0195135490""","=""9780195135497""",0,3.77,Oxford University Press,Paperback,160,2000,1979,,2019/07/12,to-read,to-read (#93),to-read,,,,0,0
12691084,Are You Listening? The science of improving your listening ability for a better understanding of people,Ralph G. Nichols,"Nichols, Ralph G.",Leonard A. Stevens,"=""0070464758""","=""9780070464759""",0,3.35,McGraw-Hill,Paperback,226,1957,1957,,2019/07/12,to-read,to-read (#92),to-read,,,,0,0
7069,The World According to Garp,John Irving,"Irving, John",,"=""0345915593""","=""9780345915597""",0,4.11,Ballantine Books,Hardcover,610,1999,1978,,2019/07/11,to-read,to-read (#91),to-read,,,,0,0
11324722,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"Haidt, Jonathan",Simona Drelciuc,"=""""","=""""",0,4.20,Pantheon,Hardcover,419,2012,2012,,2019/07/11,to-read,to-read (#90),to-read,,,,0,0
7184066,Fault Lines: How Hidden Fractures Still Threaten the World Economy,Raghuram G. Rajan,"Rajan, Raghuram G.",,"=""0691146837""","=""9780691146836""",0,4.11,Princeton University Press,Hardcover,260,2010,2010,,2019/01/27,"myshelf, to-read","myshelf (#48), to-read (#89)",to-read,,,,0,0
29993722,The Panama Papers: Breaking the Story of How the Rich and Powerful Hide Their Money,Frederik Obermaier,"Obermaier, Frederik",Bastian Obermayer,"=""1786070472""","=""9781786070470""",0,4.08,Oneworld Publications,Paperback,366,2016,2016,,2019/01/28,"myshelf, to-read","myshelf (#50), to-read (#88)",to-read,,,,0,0
93981,The Interpretation of Dreams,Sigmund Freud,"Freud, Sigmund",,"=""1566195764""","=""9781566195768""",0,3.84,Barnes & Noble,Hardcover,630,1994,1899,,2019/01/27,"myshelf, to-read","myshelf (#49), to-read (#87)",to-read,,,,0,0
16902,"Walden or, Life in the Woods",Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.77,Princeton University Press,Paperback,352,2004,1854,,2019/07/06,to-read,to-read (#86),to-read,,,,0,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2019/07/05,to-read,to-read (#85),to-read,,,,0,0
55966,The Principles of Psychology,William  James,"James, William",George Armitage Miller,"=""""","=""""",0,4.00,Harvard University Press,Paperback,1328,1983,1983,,2019/07/03,to-read,to-read (#84),to-read,,,,0,0
29767627,Reality is Not What it Seems: The Journey to Quantum Gravity,Carlo Rovelli,"Rovelli, Carlo",,"=""5268439022""","=""9785268439021""",0,4.33,Allen Lane,Hardcover,256,2016,2014,,2019/06/26,to-read,to-read (#83),to-read,,,,0,0
676723,Obedience to Authority,Stanley Milgram,"Milgram, Stanley",,"=""006131983X""","=""9780061319839""",0,4.19,Harper Perennial,Paperback,256,1983,1974,,2019/06/21,to-read,to-read (#82),to-read,,,,0,0
827031,Karma Yoga: the Yoga of Action,Vivekananda,"Vivekananda, Vivekananda",,"=""8185301891""","=""9788185301891""",0,4.51,Vedanta Press - Advaita Ashrama,Paperback,131,1999,1970,,2019/06/19,to-read,to-read (#81),to-read,,,,0,0
41716921,"Surprise, Kill, Vanish: The Secret History Of CIA Paramilitary Armies, Operators, And Assassins",Annie Jacobsen,"Jacobsen, Annie",,"=""0316441430""","=""9780316441438""",0,4.32,"Little, Brown and Company/Hachette Book Group, Inc.",Hardcover,560,2019,2019,,2019/06/19,to-read,to-read (#80),to-read,,,,0,0
8521879,Annihilation of Caste,B.R. Ambedkar,"Ambedkar, B.R.",,"=""8187190442""","=""9788187190448""",0,4.61,Blumoon Books,Paperback,100,2000,1936,,2019/06/13,to-read,to-read (#79),to-read,,,,0,0
10785310,The Buddha and his Dhamma: A Critical Edition,Aakash Singh Rathore,"Rathore, Aakash Singh",Ajay Verma,"=""0198068670""","=""9780198068679""",0,4.44,Oxford University Press,Hardcover,448,2011,1957,,2019/06/13,to-read,to-read (#78),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.70,Penguin Books ,Paperback,182,1999,1954,,2019/06/12,to-read,to-read (#77),to-read,,,,0,0
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0452011876""","=""9780452011878""",0,3.69,Plume,Paperback,1168,1999,1957,,2019/06/11,to-read,to-read (#76),to-read,,,,0,0
